project_id,name,latitude,longitude,commodity,source_province,stage,controller_1,share_1,origin_1,controller_2,share_2,origin_2,controller_3,share_3,origin_3,spatial_province,province_code,province_match
1,20 de septiembre,-24.896,-68.136,Hierro,Salta,Exploración inicial,Diego Ruben Omar,,,,,,,,,Salta,66,TRUE
2,Acazoque,-24.291,-66.378,Plomo,Salta,Exploración inicial,Nuñez Ramon,,,,,,,,,Salta,66,TRUE
3,Acoite/Hornillos,-22.305,-65.107,Plomo,Salta,Exploración inicial,Rubiolo Daniel Gerardo,,,,,,,,,Salta,66,TRUE
4,Adamo,-41.162,-68.505,Oro,Río Negro,Prospección,Valcheta Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
5,Aguas Amargas,-24.685,-66.903,Cobre,Salta,Exploración inicial,Lithium S Corp. S.A,,,,,,,,,Salta,66,TRUE
6,Aguilar,-23.20575,-65.71747,Plomo,Jujuy,Producción,Grupo Integra,1,Argentina,,,,,,,Jujuy,38,TRUE
7,Ajedrez,-22.57,-66.35,Oro,Jujuy,Producción,Espíritu de los Andes S.A.,1,Argentina,,,,,,,Jujuy,38,TRUE
8,Alba X,-24.75354964,-67.53737,Litio,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
9,Alcalina,-25.24652872,-67.45351901,Litio,Salta,Exploración avanzada,,,,,,,,,,Catamarca,10,FALSE
10,Alejandra,-22.408,-64.936,Plomo,Salta,Prospección,Carrazan Susana del Carmen,,,,,,,,,Salta,66,TRUE
11,Alfil,-41.244,-65.597,Plomo,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
12,Altar,-31.4813,-70.48096,Cobre,San Juan,Evaluación Económica Preliminar,Aldebaran Resources Inc.,0.8,Canadá,Sibanye Stillwater,0.2,Sudáfrica,,,,San Juan,70,TRUE
13,Altos Del Cura,-29.91748503,-69.5601937,Oro,San Juan,Exploración inicial,,,,-,-,-,-,-,-,San Juan,70,TRUE
14,Altos Sapitos,-28.76697,-69.11516,Litio,La Rioja,Prospección,Litios del Oeste S.A.,1,Argentina,,,,,,,La Rioja,46,TRUE
15,"Amarillo Grande (Anit, Sta. Bárbara)",-39.61437,-67.22486,Uranio,Río Negro,Exploración avanzada,Blue Sky Uranium Corp.,1,Canadá,-,-,-,-,-,-,Río Negro,62,TRUE
16,Ana Maria,-24.103,-66.088,Manganeso,Salta,Prospección,Arquero Gaston Luis - Cardozo Luis Eduardo,,,,,,,,,Salta,66,TRUE
17,Antofalla Norte,-25.62753,-67.83714,Litio,Catamarca,Exploración inicial,Lithium Energi Exploration Inc,1,Canadá,-,-,-,-,-,-,Catamarca,10,TRUE
18,Aries,-24.354,-66.966,Manganeso,Salta,Exploración inicial,Hantara S.A.,,,,,,,,,Salta,66,TRUE
19,Arizaro,-24.77014,-67.70972,Litio,Salta,Prefactibilidad,Lithium Chile Inc.,0.8,Canadá,SMG S.R.L.,0.2,Argentina,-,-,-,Salta,66,TRUE
20,Arizaro,-24.846,-67.947,Litio,Salta,Exploración avanzada,Xizang Zhufeng Resources Co.,1,China,,,,,,,Salta,66,TRUE
21,Arizaro Norte,-24.39499496,-67.35828148,Litio,Salta,Exploración avanzada,Noa Lithium Brines Inc.,1,Canadá,,,,,,,Salta,66,TRUE
22,Arizaro Sur,-24.88645,-67.77402,Litio,Salta,Exploración avanzada,Pluspetrol Resources Corp.,1,Paises Bajos,,,,,,,Salta,66,TRUE
23,Arroyo Perdido,-43.4094444,-68.5305555555555,Uranio,Chubut,Exploración inicial,CNEA,1,Argentina,,,,,,,Chubut,26,TRUE
24,Bajo de la Alumbrera,-27.19,-66.36,Cobre,Catamarca,Reingeniería,Glencore Plc.,1,Suiza,,,,,,,Catamarca,10,TRUE
25,Barro Negro,-24.473,-66.211,Cobre,Salta,Exploración avanzada,Cosmos Minerals S.A.,,,,,,,,,Salta,66,TRUE
26,Benjamin,-28.972411,-67.986733,Cobre,La Rioja,Prospección,EMSE,1,Argentina,,,,,,,La Rioja,46,TRUE
27,Bordo de la Cueva,-24.433,-66.133,Manganeso,Salta,Exploración avanzada,Minera Anglo American Argentina S.A.,,,,,,,,,Salta,66,TRUE
28,Brealito,-25.3,-66.343,Cobre,Salta,Exploración avanzada,Cosmos Minerals S.A.,,,,,,,,,Salta,66,TRUE
29,Buen Augurio,-28.348805,-69.477377,Cobre,La Rioja,Prospección,Aguilar Polimetalica,1,Argentina,,,,,,,La Rioja,46,TRUE
30,Buen Augurio 2,-28.4139194,-68.98078,Litio,La Rioja,Prospección,Aguilar S.A.,1,Argentina,,,,,,,La Rioja,46,TRUE
31,Buitrera,-41.04444444,-69.31972222,Plata,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
32,Caballos,-28.224094,-69.324542,Cobre,La Rioja,Exploración inicial,Hanaq Group,1,China,,,,,,,La Rioja,46,TRUE
33,Cachi,-47.93833,-69.92332,Oro,Santa Cruz,Exploración inicial,Tres Cerros Exploraciones SRL,0.65,Argentina,NewPeak Metals Limited,0.35,Australia,,,,Santa Cruz,78,TRUE
34,Calcatreu,-41.88306,-69.53333,Oro,Río Negro,Producción,Patagonia Gold,1,Canadá,-,-,-,-,-,-,Río Negro,62,TRUE
35,Calderón-Calderoncito,-31.22801,-70.29946,Oro,San Juan,Exploración inicial,Fortescue  Ltd.,1,Australia,,,,,,,San Juan,70,TRUE
36,California,-24.268,-66.493,Plomo,Salta,Exploración inicial,German Santiago,,,,,,,,,Salta,66,TRUE
37,Caltrauna,-41.09935177,-68.13699886,Plata,Río Negro,Exploración inicial,Rio de Oro Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
38,Campamento,-22.319,-65.046,Hierro,Salta,Exploración inicial,Servicios Y Proyectos Mineros S.R.L.,1,Argentina,,,,,,,Salta,66,TRUE
